userId,name,username,password,reportsTo,annualLeaneN,medicalLeaveN,compleaveN
100,Steven K_ing,100_Steven,SKING,0,18,60,0
101,Neena Kochhar,101_Neena,NKOCHHAR,100,18,60,0
102,Lex De Haan,102_Lex,LDEHAAN,100,18,60,0
103,Alexander Hunold,103_Alexander,AHUNOLD,100,18,60,0
104,Bruce Ernst,104_Bruce,BERNST,100,18,60,0
105,David Austin,105_David,DAUSTIN,100,18,60,0
106,Valli Pataballa,106_Valli,VPATABAL,100,18,60,0
107,Diana Lorentz,107_Diana,DLORENTZ,100,18,60,0
108,Nancy Greenberg,108_Nancy,NGREENBE,100,18,60,0
109,Daniel Faviet,109_Daniel,DFAVIET,100,18,60,0
110,John Chen,110_John,JCHEN,101,14,60,0
111,Ismael Sciarra,111_Ismael,ISCIARRA,101,14,60,0
112,Jose Manuel Urman,112_Jose Manuel,JMURMAN,101,14,60,0
113,Luis Popp,113_Luis,LPOPP,101,14,60,0
114,Den Raphaely,114_Den,DRAPHEAL,101,14,60,0
115,Alexander Khoo,115_Alexander,AKHOO,101,14,60,0
116,Shelli Baida,116_Shelli,SBAIDA,101,14,60,0
117,Sigal Tobias,117_Sigal,STOBIAS,101,14,60,0
118,Guy Himuro,118_Guy,GHIMURO,101,14,60,0
119,Karen Colmenares,119_Karen,KCOLMENA,101,14,60,0
120,Matthew Weiss,120_Matthew,MWEISS,101,14,60,0
121,Adam Fripp,121_Adam,AFRIPP,102,14,60,0
122,Payam Kaufling,122_Payam,PKAUFLIN,102,14,60,0
123,Shanta Vollman,123_Shanta,SVOLLMAN,102,14,60,0
124,Kevin Mourgos,124_Kevin,KMOURGOS,102,14,60,0
125,Julia Nayer,125_Julia,JNAYER,102,14,60,0
126,Irene Mikkilineni,126_Irene,IMIKKILI,102,14,60,0
127,James Landry,127_James,JLANDRY,102,14,60,0
128,Steven Markle,128_Steven,SMARKLE,102,14,60,0
129,Laura Bissot,129_Laura,LBISSOT,102,14,60,0
130,Mozhe Atkinson,130_Mozhe,MATKINSO,102,14,60,0
131,James Marlow,131_James,JAMRLOW,103,14,60,0
132,TJ Olson,132_TJ,TJOLSON,103,14,60,0
133,Jason Mallin,133_Jason,JMALLIN,103,14,60,0
134,Michael Rogers,134_Michael,MROGERS,103,14,60,0
135,Ki Gee,135_Ki,KGEE,103,14,60,0
136,Hazel Philtanker,136_Hazel,HPHILTAN,103,14,60,0
137,Renske Ladwig,137_Renske,RLADWIG,103,14,60,0
138,Stephen Stiles,138_Stephen,SSTILES,103,14,60,0
139,John Seo,139_John,JSEO,103,14,60,0
140,Joshua Patel,140_Joshua,JPATEL,103,14,60,0
141,Trenna Rajs,141_Trenna,TRAJS,104,14,60,0
142,Curtis Davies,142_Curtis,CDAVIES,104,14,60,0
143,Randall Matos,143_Randall,RMATOS,104,14,60,0
144,Peter Vargas,144_Peter,PVARGAS,104,14,60,0
145,John Russell,145_John,JRUSSEL,104,14,60,0
146,Karen Partners,146_Karen,KPARTNER,104,14,60,0
147,Alberto Errazuriz,147_Alberto,AERRAZUR,104,14,60,0
148,Gerald Cambrault,148_Gerald,GCAMBRAU,104,14,60,0
149,Eleni Zlotkey,149_Eleni,EZLOTKEY,104,14,60,0
150,Peter Tucker,150_Peter,PTUCKER,104,14,60,0
151,David Bernstein,151_David,DBERNSTE,105,14,60,0
152,Peter Hall,152_Peter,PHALL,105,14,60,0
153,Christopher Olsen,153_Christopher,COLSEN,105,14,60,0
154,Nanette Cambrault,154_Nanette,NCAMBRAU,105,14,60,0
155,Oliver Tuvault,155_Oliver,OTUVAULT,105,14,60,0
156,Janette K_ing,156_Janette,JKING,105,14,60,0
157,Patrick Sully,157_Patrick,PSULLY,105,14,60,0
158,Allan McEwen,158_Allan,AMCEWEN,105,14,60,0
159,Lindsey Smith,159_Lindsey,LSMITH,105,14,60,0
160,Louise Doran,160_Louise,LDORAN,105,14,60,0
161,Sarath Sewall,161_Sarath,SSEWALL,106,14,60,0
162,Clara Vishney,162_Clara,CVISHNEY,106,14,60,0
163,Danielle Greene,163_Danielle,DGREENE,106,14,60,0
164,Mattea Marvins,164_Mattea,MMARVINS,106,14,60,0
165,David Lee,165_David,DLEE,106,14,60,0
166,Sundar Ande,166_Sundar,SANDE,106,14,60,0
167,Amit Banda,167_Amit,ABANDA,106,14,60,0
168,Lisa Ozer,168_Lisa,LOZER,106,14,60,0
169,Harrison Bloom,169_Harrison,HBLOOM,106,14,60,0
170,Tayler Fox,170_Tayler,TFOX,106,14,60,0
171,William Smith,171_William,WSMITH,107,14,60,0
172,Elizabeth Bates,172_Elizabeth,EBATES,107,14,60,0
173,Sundita Kumar,173_Sundita,SKUMAR,107,14,60,0
174,Ellen Abel,174_Ellen,EABEL,107,14,60,0
175,Alyssa Hutton,175_Alyssa,AHUTTON,107,14,60,0
176,Jonathon Taylor,176_Jonathon,JTAYLOR,107,14,60,0
177,Jack Livingston,177_Jack,JLIVINGS,107,14,60,0
178,Kimberely Grant,178_Kimberely,KGRANT,107,14,60,0
179,Charles Johnson,179_Charles,CJOHNSON,107,14,60,0
180,Winston Taylor,180_Winston,WTAYLOR,107,14,60,0
181,Jean Fleaur,181_Jean,JFLEAUR,108,14,60,0
182,Martha Sullivan,182_Martha,MSULLIVA,108,14,60,0
183,Girard Geoni,183_Girard,GGEONI,108,14,60,0
184,Nandita Sarchand,184_Nandita,NSARCHAN,108,14,60,0
